what is his educational background| tell me about his education| where did he go to school,"Abhishek graduates from University of Texas at Dallas in Masters in Business Analytics with majoring in Data Science and Applied Machine Learning. Prior to that, he hold Bachelor of Technology in Digital Communications and Design from Jawaharlal Nehru Technological University"
does he have any certificates? what kind of certificate he has?,Abhishek is a AWS Certified Solutions Architect and AWS Cloud practitioner. He has a credintial from Alteryx in Machine Learning Fundementals 
How can I contact Abhishek? | What is Dev's email? | How to contact Abhishek?,"Abhishek's contact information: email - abhishekmoguluri@gmail.com, phone - +1-945-249-0194, LinkedIn - https://www.linkedin.com/in/abhishekmoguluri"
What motivates Abhishek?,"Abhishek is deeply motivated by the transformative potential of AI and data science. He sees these fields as catalysts for positive change, offering endless possibilities to solve complex problems, improve lives, and drive innovation. This sense of purpose and the opportunity to make a meaningful impact fuels his passion and drives him to constantly learn, explore, and push boundaries in the field."
Where does he see himself in 5 years?,"n 5 years, Abhishek aims to be in a position where he's leveraging AI to make a tangible positive impact on industries. He sees himself working to demystify AI and make it more accessible, removing the stigma that one needs advanced qualifications to utilize its potential. Through practical applications and advocacy, he hopes to empower individuals and organizations to embrace AI as a tool for innovation and progress."
Tell me about his technical skills ; What technical skills does he know,"Abhishek has demonstrated versatile technical skills across programming, data analysis, machine learning, and cloud platforms. As a Product Manager at Amazon, Abhishek leveraged machine learning algorithms like Random Forest to mitigate $1.6M in chargebacks and achieve $340,000 in savings. He conducted A/B testing initiatives to optimize order queues, resulting in a 10% increase in customer acquisition. As a Senior Data Analyst, Abhishek deployed predictive models using XGBoost and clustering to reduce customer escalations by 27% and improve satisfaction metrics. He also developed advanced time series forecasting models with techniques like ARIMA and Exponential Smoothing on AWS Sagemaker.As a Risk Analyst, Abhishek engineered a VBA-powered data validation tool to correct inconsistencies in large datasets, leading to a 6% reduction. He implemented 35+ high-volume data engineering pipelines on AWS using Apache Airflow to support decision-making.he also performed root cause analysis and anomaly detection using Logistic Regression to prevent fraud and identity theft."
what can you do | hey | hello,"Hello, I\'m a Resume Bot. I can assist you with queries such as \'What did Abhishek study?\' or \'Where has he worked?\' as well as other typical interview questions. What would you like to know about Abhishek?"
What is Abhishek doing right now; Tell me something about Abhishek | what can you tell me about Abhishek,Harikrishna is currently working as a Teaching Assistant at UTD.His dual focus on research and practical application reflects his commitment to advancing the field of AI while delivering tangible benefits to industries.\
What programming languages or technologies is Abhishek proficient in?,"Python, R, Matlab, Tableau, Power BI, Microsoft SQL, Snowflake, PyTorch, Caffe, Reinforcement Learning, Unsupervised Learning, Recommendation Systems, Large Language Models, Retrieval Augmented Generation (RAG) systems, AWS, Google Cloud Platform, Apache Spark, A/B Testing, Excel, MS Office"
Could you tell me about Abhishek's skills?,"Abhishek's technical skills cover a wide range of programming languages (Python, R, Matlab), data visualization tools (Tableau, PowerBI), databases (Microsoft SQL, Snowflake), machine learning frameworks and techniques (PyTorch, Caffe, Reinforcement Learning, Unsupervised Learning, Recommendation Systems, Large Language Models, RAG systems), cloud platforms (AWS, Google Cloud Platform), and general productivity software (MS Office, Excel)."
what languages does Abhishek speak ,"Abhishek speaks English, Hindi, Telugu, and questionable Spanish :P"
where can I see Abhishek\'s resume,You can see his resume on his LinkedIn https://www.linkedin.com/in/abhishekmoguluri/or his portofolio websbite: https:/abhishekmoguluri.github.io/#
Tell me about Abhishek\'s hobbies | any hobbies | what about his hobbies,Abhishek loves to watch Football(Soccer). He played soccer professionally in India but later quit due to an injury. He loves to work out and Travel
Does Abhishek have any publications| does he have any patents,"Not as of now, but Abhishek collaborated with provoke solutions to create an application called DEVALIGN"
what project is art most proud of,"Abhishek's favorite project was an output of Provoke Hackathon. Creating an application where it matches both images(designer's input and Developer output) using cosine Similarity, generate a visual representation of where the differences are. To stream line discrepencies between designers Idea and Developer's output"
What is Abhishek\'s passion,"He is passionate about Data Analytics, Machine Learning, and Conversational AI, but most of all, he is passionate about solving customers\' problems using the technologies above."
Tell me about Abhishek\'s strengths | what about Abhishekkrishna\'s strengths?,"Abhishek is known for his expertise in AI and deep learning, particularly in the development and deployment of Large Language Models (LLMs) and Machine Learning solutions for enterprise applications. His strengths lie in his ability to tackle complex problems with innovative AI solutions, his deep understanding of machine learning algorithms, and his knack for implementing them effectively in real-world scenarios. Additionally, Abhishek is praised for his strong analytical skills, attention to detail, and commitment to delivering high-quality results. His optimism and friendliness make him a valuable collaborator and team member, enhancing his ability to work effectively with others. His passion for AI and dedication to continuous learning further underscore his strengths in the field."
Tell me about Abhishek\'s weaknesses,"Abhishek approaches his work with humility, acknowledging that he has areas for growth. He recognizes the importance of balancing work and personal time, striving to optimize his productivity during work hours. However, he may sometimes find it challenging to delegate tasks, as he prefers to ensure that things are done correctly."
What kind of a leader is Abhishek? | What is Abhishek\'s managerial style? What is Abhishek\'s leadership style?,Abhishek handled a team of 32 people in Amazon and trained 12 people on the process while working in Risk Management. His approach is taking in constructive criticism and build on that to improve his character. He belives that every one makes mistakes but the should never repeat the same mistake twice
Tell me about Abhishek experience | tell me about his job | where is he working right now,"Abhishek has demonstrated versatile technical skills across programming, data analysis, machine learning, and cloud platforms. As a Product Manager at Amazon, Abhishek leveraged machine learning algorithms like Random Forest to mitigate $1.6M in chargebacks and achieve $340,000 in savings. He conducted A/B testing initiatives to optimize order queues, resulting in a 10% increase in customer acquisition. As a Senior Data Analyst, Abhishek deployed predictive models using XGBoost and clustering to reduce customer escalations by 27% and improve satisfaction metrics. He also developed advanced time series forecasting models with techniques like ARIMA and Exponential Smoothing on AWS Sagemaker. As a Risk Analyst, Abhishek engineered a VBA-powered data validation tool to correct inconsistencies in large datasets, leading to a 6% reduction. He implemented 35+ high-volume data engineering pipelines on AWS using Apache Airflow to support decision-making.hek also performed root cause analysis and anomaly detection using Logistic Regression to prevent fraud and identity theft."
What else can you tell me about Abhishek? Tell me something interesting about Abhishek,"One interesting fact about Abhishek Is despit coming from a non technical background, he determined to learn technical side of it and adapt to the Gen AI world."
Has Abhishek Worked on Gen AI? | Does Abhishek have experience on Gen AI?," ""Yes  Abhishek has worked in Generative AI. One of his favourite project was Provoke Hackathon. He also created me using Open AI. He worked on several projects like Emotion detection  Question Answering. """
